Reference,priority,review_block,review_from_local,review_until_local,review_from_utc,review_until_utc,label_from_local,label_until_local,label_from_utc,label_until_utc,mov_type,label_quality,review_notes,offset_minutes,right_records,left_records,total_records
77370299R-115,2,79,2024-11-04 20:00:00,2024-11-04 20:10:00,2024-11-04 19:00:00+00:00,2024-11-04 19:10:00+00:00,,,,,,,,-60,12320892,12223146,24544038
77370299R-115,2,80,2024-11-04 20:10:00,2024-11-04 20:20:00,2024-11-04 19:10:00+00:00,2024-11-04 19:20:00+00:00,,,,,,,,-60,12320892,12223146,24544038
77370299R-115,2,81,2024-11-04 20:20:00,2024-11-04 20:30:00,2024-11-04 19:20:00+00:00,2024-11-04 19:30:00+00:00,,,,,,,,-60,12320892,12223146,24544038
77370299R-115,2,82,2024-11-04 20:30:00,2024-11-04 20:40:00,2024-11-04 19:30:00+00:00,2024-11-04 19:40:00+00:00,,,,,,,,-60,12320892,12223146,24544038
77370299R-115,2,83,2024-11-04 20:40:00,2024-11-04 20:50:00,2024-11-04 19:40:00+00:00,2024-11-04 19:50:00+00:00,,,,,,,,-60,12320892,12223146,24544038
77370299R-115,2,84,2024-11-04 20:50:00,2024-11-04 21:00:00,2024-11-04 19:50:00+00:00,2024-11-04 20:00:00+00:00,,,,,,,,-60,12320892,12223146,24544038
77370299R-115,2,85,2024-11-04 21:00:00,2024-11-04 21:10:00,2024-11-04 20:00:00+00:00,2024-11-04 20:10:00+00:00,,,,,,,,-60,12320892,12223146,24544038
77370299R-115,2,86,2024-11-04 21:10:00,2024-11-04 21:20:00,2024-11-04 20:10:00+00:00,2024-11-04 20:20:00+00:00,,,,,,,,-60,12320892,12223146,24544038
77370299R-115,2,87,2024-11-04 21:20:00,2024-11-04 21:30:00,2024-11-04 20:20:00+00:00,2024-11-04 20:30:00+00:00,,,,,,,,-60,12320892,12223146,24544038
77370299R-115,2,88,2024-11-04 21:30:00,2024-11-04 21:40:00,2024-11-04 20:30:00+00:00,2024-11-04 20:40:00+00:00,,,,,,,,-60,12320892,12223146,24544038
77370299R-115,2,89,2024-11-04 21:40:00,2024-11-04 21:50:00,2024-11-04 20:40:00+00:00,2024-11-04 20:50:00+00:00,,,,,,,,-60,12320892,12223146,24544038
77370299R-115,2,90,2024-11-04 21:50:00,2024-11-04 22:00:00,2024-11-04 20:50:00+00:00,2024-11-04 21:00:00+00:00,,,,,,,,-60,12320892,12223146,24544038
77370299R-115,2,91,2024-11-04 22:00:00,2024-11-04 22:10:00,2024-11-04 21:00:00+00:00,2024-11-04 21:10:00+00:00,,,,,,,,-60,12320892,12223146,24544038
77370299R-115,2,92,2024-11-04 22:10:00,2024-11-04 22:20:00,2024-11-04 21:10:00+00:00,2024-11-04 21:20:00+00:00,,,,,,,,-60,12320892,12223146,24544038
77370299R-115,2,93,2024-11-04 22:20:00,2024-11-04 22:30:00,2024-11-04 21:20:00+00:00,2024-11-04 21:30:00+00:00,,,,,,,,-60,12320892,12223146,24544038
